"skills","demand"
"python","1013"
"sql","738"
"r","482"
"aws","301"
"tableau","300"
"spark","255"
"azure","251"
"excel","250"
"tensorflow","245"
"sas","196"
"hadoop","182"
"power bi","178"
"pytorch","173"
"pandas","162"
"java","158"
"numpy","150"
"scikit-learn","142"
"keras","122"
"scala","104"
"git","99"
"gcp","99"
"nosql","91"
"pyspark","85"
"mongodb","76"
"matplotlib","75"
"databricks","74"
"powerpoint","68"
"c++","68"
"docker","63"
"go","63"
"flow","59"
"linux","50"
"snowflake","50"
"oracle","50"
"matlab","49"
"nltk","49"
"c","46"
"github","46"
"jupyter","45"
"mysql","45"
"sql server","44"
"alteryx","41"
"word","41"
"kubernetes","40"
"jira","38"
"sap","37"
"redshift","37"
"plotly","35"
"cassandra","34"
"javascript","33"
"shell","33"
"airflow","32"
"kafka","31"
"seaborn","30"
"flask","29"
"bigquery","28"
"qlik","24"
"spss","24"
"opencv","23"
"c#","21"
"postgresql","21"
"vba","20"
"outlook","20"
"unix","20"
"jenkins","17"
"perl","17"
"express","16"
"ruby","14"
"looker","13"
"theano","13"
"mxnet","12"
"ibm cloud","12"
"bash","12"
"dax","12"
"django","11"
"html","11"
"react","11"
"confluence","10"
"css","10"
"ssis","10"
"sharepoint","9"
"windows","9"
"ssrs","7"
"angular","7"
"dynamodb","7"
"unify","7"
"hugging face","7"
"bitbucket","7"
"ms access","7"
"elasticsearch","6"
"mongo","6"
"zoom","6"
"sheets","6"
"gdpr","6"
"unity","6"
"planner","5"
"spreadsheet","5"
"terraform","4"
"gitlab","4"
"smartsheet","4"
"node","4"
"spring","3"
"neo4j","3"
"aurora","3"
"t-sql","3"
"monday.com","3"
"watson","3"
"flutter","3"
"redis","3"
"php","3"
"fastapi","3"
"rust","3"
"julia","3"
"digitalocean","3"
"selenium","3"
"datarobot","3"
"cognos","3"
"atlassian","2"
"apl","2"
"ubuntu","2"
"powershell","2"
"jquery","2"
"svn","2"
"no-sql","2"
"visual basic","2"
"kotlin","2"
"typescript","2"
"visio","2"
"ggplot2","2"
"swift","2"
"ansible","2"
"node.js","2"
"tidyverse","2"
"splunk","1"
"mlr","1"
"nuix","1"
"mlpack","1"
"microstrategy","1"
"microsoft teams","1"
"mariadb","1"
"lisp","1"
"pascal","1"
"phoenix","1"
"ionic","1"
"puppet","1"
"golang","1"
"qt","1"
"fortran","1"
"react.js","1"
"fedora","1"
"rshiny","1"
"electron","1"
"db2","1"
"slack","1"
"couchbase","1"
"solidity","1"
"chef","1"
"assembly","1"
"asana","1"
"trello","1"
"twilio","1"
"wire","1"
